index,요리이름,칼로리,탄수화물,단백질,지질,나트륨,콜레스테롤,식이섬유,칼슘,비타민c,당류
1,갈릭 난 ,23.5,22.9,29.4,18.3,32.2,1.4,14.4,13.1,3.1,0.0
2,양배추롤,17.8,4.8,46.2,40.2,31.7,59.3,3.1,6.4,7.4,0.0
3,태국식 홍합찜,23.1,6.3,49.6,60.1,44.5,42.0,11.6,27.7,19.3,0.0
5,북경오리구이,183.5,2.8,82.0,150.1,24.3,81.7,5.6,10.2,12.4,8.5
7,바질페스토,29.3,2.1,20.3,113.2,15.2,5.2,8.4,32.3,12.6,0.0
9,마멀레이드,3.8,5.9,0.2,0.0,7.8,0.0,0.9,0.8,5.8,0.0
10,썬드라이드 토마토,1.7,1.7,2.8,2.4,3.8,0.0,5.4,2.1,21.0,0.0
11,데리야끼 치킨,22.8,12.5,55.6,31.5,75.7,37.5,0.8,3.7,4.9,0.0
12,돼지고기 두반장 볶음,16.2,8.5,33.9,31.3,23.1,15.3,35.6,13.7,111.4,0.0
14,게살브로콜리,17.7,9.6,65.4,24.4,46.7,207.9,35.2,51.9,268.9,0.0
15,마파두부덥밥,48.6,17.8,97.5,115.5,79.3,36.2,32.5,46.5,5.5,0.0
16,니쿠자가,19.6,19.3,36.4,15.6,71.5,17.8,34.0,16.7,47.5,0.0
17,튜나 캐서롤,24.7,21.9,46.2,26.5,27.2,13.3,41.2,23.6,164.8,0.0
18,통삼겹오븐구이,32.7,11.4,46.5,89.9,27.3,23.1,27.2,10.7,36.9,0.0
19,엔젤 부리또,38.3,14.6,42.3,110.3,35.5,134.7,43.6,28.1,158.3,1.2
20,시저 샐러드,36.4,0.9,65.4,95.0,34.9,140.9,0.5,21.9,4.8,0.0
21,감자 & 베이컨 샐러드,55.9,26.6,86.0,79.0,67.3,241.7,33.0,21.9,193.4,2.1
22,냉이 파스타,27.9,23.9,30.6,34.5,13.9,6.5,17.8,8.9,14.0,0.0
23,땅콩수프,171.6,61.9,384.4,399.7,265.6,282.9,238.1,103.6,415.6,0.0
24,김치찜,19.6,9.2,48.1,48.9,363.7,28.2,77.7,46.9,93.8,0.0
27,해물 빠에야,54.4,31.1,170.7,42.6,154.0,173.8,34.9,118.1,41.8,1.7
28,쌀국수,32.3,36.0,101.3,28.7,208.8,86.7,39.8,159.1,12.6,0.0
29,날치알 떡볶이,43.5,49.1,56.5,24.6,103.6,112.3,51.1,35.1,96.9,0.0
30,비빔국수,43.6,49.0,49.3,24.6,208.9,99.8,37.7,25.9,55.2,0.0
31,콘치즈,30.7,11.6,43.3,59.8,61.3,33.0,10.6,76.0,10.6,0.0
32,등갈비찜,26.9,16.6,61.1,42.8,6.7,34.5,19.0,6.9,24.8,17.6
33,일본라멘,46.5,23.0,63.8,98.6,67.9,118.9,15.8,23.0,1.2,0.0
